utterance,category,intent
"I don't have an online account, what do I have to do to register?",ACCOUNT,create_account
can you tell me if i can regisger two accounts with a single email address?,ACCOUNT,create_account
"I have no online account, open one, please",ACCOUNT,create_account
"could you ask an agent how to open an account, please?",ACCOUNT,create_account
"i want an online account, create one",ACCOUNT,create_account
"i want an account, i need help opening one",ACCOUNT,create_account
tell me if I can register  two online accounts with the same email,ACCOUNT,create_account
i want to know if i could create two profiles with the same email address,ACCOUNT,create_account
can you tell me if i can create more than one fucking user account with the same email?,ACCOUNT,create_account
were to create an onlind account,ACCOUNT,create_account
i wanna know if i can create more than one user account with a single email address,ACCOUNT,create_account
can I create two online accounts with a single email?,ACCOUNT,create_account
"I don't have a user account, how do I create one?",ACCOUNT,create_account
"I have no user account, what do I have to do to create one?",ACCOUNT,create_account
I want to know if I can own several accounts,ACCOUNT,create_account
"I don't have a profile , can I creae one?",ACCOUNT,create_account
"I don't have an online account, I need help creating one",ACCOUNT,create_account
I want to know if I can register several user accounts with the same email address,ACCOUNT,create_account
"I want an account, what do I have to do to open one?",ACCOUNT,create_account
tell me if I could register two user accounts with a single email address,ACCOUNT,create_account
"I don't have a account, I need help opening one",ACCOUNT,create_account
"I haven't got a user account, can you register?",ACCOUNT,create_account
I need a user account and I want to create one,ACCOUNT,create_account
"I need an online account, how can I open one?",ACCOUNT,create_account
"I don't have a profile, how do I create one?",ACCOUNT,create_account
tell me if I can register two accounts with a single email address,ACCOUNT,create_account
"I haven't got an online account, help me open one",ACCOUNT,create_account
"ive got no online account, what can i do to register?",ACCOUNT,create_account
I want to know if I can register several profiles with the same email address,ACCOUNT,create_account
i need help registering,ACCOUNT,create_account
i want to know if i can have several accounts,ACCOUNT,create_account
"I need an account, I need help opening one",ACCOUNT,create_account
"i want to create an account, what do i have to do?",ACCOUNT,create_account
"I'd like a user account, open one",ACCOUNT,create_account
"I want a user account , open one",ACCOUNT,create_account
"I need an online account, what do I have to do?",ACCOUNT,create_account
I want to know if I can create more than one account with a single email,ACCOUNT,create_account
"I don't have a user account, register",ACCOUNT,create_account
"I want to register, what do I have to do?",ACCOUNT,create_account
"I haven't got an online account, I need help opening one",ACCOUNT,create_account
"I have no fucking account, I need help registering, please",ACCOUNT,create_account
I want to know if I can register more than one user account with a single email address,ACCOUNT,create_account
I want to knoe if I can create two profiles with an single email address,ACCOUNT,create_account
can I own more than one account?,ACCOUNT,create_account
"i want a profile, what should i do?",ACCOUNT,create_account
"I need an online account, what should I do to create one?",ACCOUNT,create_account
"i dont have a account, i need help opening one",ACCOUNT,create_account
"I want a profille, how can I create one?",ACCOUNT,create_account
how can I open an online account?,ACCOUNT,create_account
ask an agent how i could create a user account,ACCOUNT,create_account
"i dont have an online account, what can i do?",ACCOUNT,create_account
can i register?,ACCOUNT,create_account
"i have no account, what do i have to do?",ACCOUNT,create_account
i watn to know if i can register two profiles with the same email address,ACCOUNT,create_account
how can I create an online account?,ACCOUNT,create_account
"please, i want to know if i could create more than one profile with a single email address",ACCOUNT,create_account
"I've got no profile, how can I create one?",ACCOUNT,create_account
"I would like a fucking user account , how can I open one?",ACCOUNT,create_account
"I have no account, can ylu help me?",ACCOUNT,create_account
I want to know if I can create more than one account with the same email address,ACCOUNT,create_account
"I haven't got an account, what can I do to open one?",ACCOUNT,create_account
i want to know if i can create two accounts with a single email address,ACCOUNT,create_account
"I want an account, create one",ACCOUNT,create_account
"i want an account, can u create one?",ACCOUNT,create_account
"I haven't got an account, can I create one?",ACCOUNT,create_account
"I haven't got an account, can you open one?",ACCOUNT,create_account
"I don't have a user account, I need help opening one",ACCOUNT,create_account
"I've got no account , can I register?",ACCOUNT,create_account
"I want to create an online account, what can I do?",ACCOUNT,create_account
I want to know if I can create more than one online account with a single email address,ACCOUNT,create_account
"I haven't got a user account, can you help me?",ACCOUNT,create_account
"I have no account, create one",ACCOUNT,create_account
"I don't have an online account, what do I have to do?",ACCOUNT,create_account
can i own more than one online account?,ACCOUNT,create_account
I want to know if I can register two accounts with a single email address,ACCOUNT,create_account
"i have no account, what should i do to open one?",ACCOUNT,create_account
"I have no user account , what do I have to do to open one?",ACCOUNT,create_account
can i have more than one online account?,ACCOUNT,create_account
i wanna know if i can create two online accounts with a single email address,ACCOUNT,create_account
"I want a user account, how can I open one?",ACCOUNT,create_account
can you tell me if I can register several accounts with a single email?,ACCOUNT,create_account
I want to open a user account,ACCOUNT,create_account
"please, i want to know if i can create two user accounts with the same email",ACCOUNT,create_account
"I haven't got auser account, help me open one",ACCOUNT,create_account
"i dont have a user account and i want to open one, please",ACCOUNT,create_account
i wanna know if i can register more than oneuser account with the same email,ACCOUNT,create_account
"I have no account, how do I open one?",ACCOUNT,create_account
I want to know if I can register more than one user account with a single email,ACCOUNT,create_account
"i dont have a user accolunt, create one",ACCOUNT,create_account
tell me if I can create two online accounts with the same email,ACCOUNT,create_account
can you tell me if I can register several accounts with a single email address?,ACCOUNT,create_account
I haven't got a profile,ACCOUNT,create_account
I want to nkow if I can register two accounts with the same email,ACCOUNT,create_account
can you tell me if I can create more than one user account with the same email?,ACCOUNT,create_account
"I don't have a user account, can I open one?",ACCOUNT,create_account
"i dont have a profile, can u create one?",ACCOUNT,create_account
I want to know if I can have several accounts,ACCOUNT,create_account
"I haven't got an online account, can you register?",ACCOUNT,create_account
"can you tell me if I could create two accounts with a single email, please?",ACCOUNT,create_account
I need an account and I want to open one,ACCOUNT,create_account
"I've got no account, can I create one?",ACCOUNT,create_account
"I've got no account,  what can I do to register?",ACCOUNT,create_account
"I want a user account and I would like to open one, please",ACCOUNT,create_account
can you tell me if I can create several online accounts with a single email address?,ACCOUNT,create_account
"i want an account, what can i do?",ACCOUNT,create_account
